,region,number_of_cases,number_of_cases_for_10k,date
8762,Mazowieckie,193,0.36,2022-04-22
8763,Opolskie,48,0.49,2022-04-22
8764,Podkarpackie,43,0.2,2022-04-22
8765,Podlaskie,48,0.41,2022-04-22
8766,Pomorskie,61,0.26,2022-04-22
8767,Śląskie,175,0.39,2022-04-22
8768,Świętokrzyskie,37,0.3,2022-04-22
8769,Warmińsko-mazurskie,30,0.21,2022-04-22
8770,Wielkopolskie,70,0.2,2022-04-22
8771,Zachodniopomorskie,45,0.27,2022-04-22
8772,Cały kraj,344,0.09,2022-04-23
8773,Dolnośląskie,35,0.12,2022-04-23
8774,Kujawsko-pomorskie,11,0.05,2022-04-23
8775,Lubelskie,32,0.15,2022-04-23
8776,Lubuskie,5,0.05,2022-04-23
8777,Łódzkie,20,0.08,2022-04-23
8778,Małopolskie,41,0.12,2022-04-23
8779,Mazowieckie,54,0.1,2022-04-23
8780,Opolskie,7,0.07,2022-04-23
8781,Podkarpackie,18,0.08,2022-04-23
8782,Podlaskie,13,0.11,2022-04-23
8783,Pomorskie,17,0.07,2022-04-23
8784,Śląskie,37,0.08,2022-04-23
8785,Świętokrzyskie,9,0.07,2022-04-23
8786,Warmińsko-mazurskie,7,0.05,2022-04-23
8787,Wielkopolskie,11,0.03,2022-04-23
8788,Zachodniopomorskie,6,0.04,2022-04-23
8789,Cały kraj,267,0.07,2022-04-24
8790,Dolnośląskie,17,0.06,2022-04-24
8791,Kujawsko-pomorskie,9,0.04,2022-04-24
8792,Lubelskie,13,0.06,2022-04-24
8793,Lubuskie,5,0.05,2022-04-24
8794,Łódzkie,20,0.08,2022-04-24
8795,Małopolskie,22,0.06,2022-04-24
8796,Mazowieckie,37,0.07,2022-04-24
8797,Opolskie,15,0.15,2022-04-24
8798,Podkarpackie,14,0.07,2022-04-24
8799,Podlaskie,11,0.09,2022-04-24
8800,Pomorskie,27,0.12,2022-04-24
8801,Śląskie,33,0.07,2022-04-24
8802,Świętokrzyskie,11,0.09,2022-04-24
8803,Warmińsko-mazurskie,4,0.03,2022-04-24
8804,Wielkopolskie,12,0.03,2022-04-24
8805,Zachodniopomorskie,6,0.04,2022-04-24
8806,Cały kraj,1356,0.35,2022-04-25
8807,Dolnośląskie,118,0.41,2022-04-25
8808,Kujawsko-pomorskie,43,0.21,2022-04-25
8809,Lubelskie,123,0.58,2022-04-25
8810,Lubuskie,19,0.19,2022-04-25
8811,Łódzkie,75,0.31,2022-04-25
8812,Małopolskie,142,0.42,2022-04-25
8813,Mazowieckie,227,0.42,2022-04-25
8814,Opolskie,52,0.53,2022-04-25
8815,Podkarpackie,65,0.31,2022-04-25
8816,Podlaskie,49,0.42,2022-04-25
8817,Pomorskie,74,0.32,2022-04-25
8818,Śląskie,160,0.35,2022-04-25
8819,Świętokrzyskie,36,0.29,2022-04-25
8820,Warmińsko-mazurskie,30,0.21,2022-04-25
8821,Wielkopolskie,61,0.17,2022-04-25
8822,Zachodniopomorskie,50,0.3,2022-04-25
8823,Cały kraj,1041,0.27,2022-04-26
8824,Dolnośląskie,74,0.26,2022-04-26
8825,Kujawsko-pomorskie,49,0.24,2022-04-26
8826,Lubelskie,98,0.47,2022-04-26
8827,Lubuskie,24,0.24,2022-04-26
8828,Łódzkie,60,0.25,2022-04-26
8829,Małopolskie,78,0.23,2022-04-26
8830,Mazowieckie,192,0.35,2022-04-26
8831,Opolskie,30,0.31,2022-04-26
8832,Podkarpackie,43,0.2,2022-04-26
8833,Podlaskie,41,0.35,2022-04-26
8834,Pomorskie,45,0.19,2022-04-26
8835,Śląskie,135,0.3,2022-04-26
8836,Świętokrzyskie,33,0.27,2022-04-26
8837,Warmińsko-mazurskie,22,0.15,2022-04-26
8838,Wielkopolskie,45,0.13,2022-04-26
8839,Zachodniopomorskie,39,0.23,2022-04-26
8840,Cały kraj,958,0.25,2022-04-27
8841,Dolnośląskie,82,0.28,2022-04-27
8842,Kujawsko-pomorskie,23,0.11,2022-04-27
8843,Lubelskie,73,0.35,2022-04-27
8844,Lubuskie,14,0.14,2022-04-27
8845,Łódzkie,60,0.25,2022-04-27
8846,Małopolskie,80,0.23,2022-04-27
8847,Mazowieckie,169,0.31,2022-04-27
8848,Opolskie,20,0.2,2022-04-27
8849,Podkarpackie,52,0.24,2022-04-27
8850,Podlaskie,33,0.28,2022-04-27
8851,Pomorskie,43,0.18,2022-04-27
8852,Śląskie,150,0.33,2022-04-27
8853,Świętokrzyskie,26,0.21,2022-04-27
8854,Warmińsko-mazurskie,18,0.13,2022-04-27
8855,Wielkopolskie,46,0.13,2022-04-27
8856,Zachodniopomorskie,36,0.21,2022-04-27
8857,Cały kraj,857,0.22,2022-04-28
8858,Dolnośląskie,51,0.18,2022-04-28
8859,Kujawsko-pomorskie,23,0.11,2022-04-28
8860,Lubelskie,57,0.27,2022-04-28
8861,Lubuskie,17,0.17,2022-04-28
8862,Łódzkie,58,0.24,2022-04-28
8863,Małopolskie,68,0.2,2022-04-28
8864,Mazowieckie,163,0.3,2022-04-28
8865,Opolskie,25,0.25,2022-04-28
8866,Podkarpackie,36,0.17,2022-04-28
8867,Podlaskie,35,0.3,2022-04-28
8868,Pomorskie,46,0.2,2022-04-28
8869,Śląskie,123,0.27,2022-04-28
8870,Świętokrzyskie,27,0.22,2022-04-28
8871,Warmińsko-mazurskie,20,0.14,2022-04-28
8872,Wielkopolskie,47,0.13,2022-04-28
8873,Zachodniopomorskie,40,0.24,2022-04-28
8874,Cały kraj,842,0.22,2022-04-29
8875,Dolnośląskie,59,0.2,2022-04-29
8876,Kujawsko-pomorskie,24,0.12,2022-04-29
8877,Lubelskie,68,0.32,2022-04-29
8878,Lubuskie,9,0.09,2022-04-29
8879,Łódzkie,40,0.16,2022-04-29
8880,Małopolskie,92,0.27,2022-04-29
8881,Mazowieckie,127,0.23,2022-04-29
8882,Opolskie,36,0.37,2022-04-29
8883,Podkarpackie,42,0.2,2022-04-29
8884,Podlaskie,36,0.31,2022-04-29
8885,Pomorskie,32,0.14,2022-04-29
8886,Śląskie,138,0.31,2022-04-29
8887,Świętokrzyskie,28,0.23,2022-04-29
8888,Warmińsko-mazurskie,18,0.13,2022-04-29
8889,Wielkopolskie,37,0.11,2022-04-29
8890,Zachodniopomorskie,29,0.17,2022-04-29
8891,Cały kraj,234,0.06,2022-04-30
8892,Dolnośląskie,10,0.03,2022-04-30
8893,Kujawsko-pomorskie,4,0.02,2022-04-30
8894,Lubelskie,8,0.04,2022-04-30
8895,Lubuskie,2,0.02,2022-04-30
8896,Łódzkie,14,0.06,2022-04-30
8897,Małopolskie,23,0.07,2022-04-30
8898,Mazowieckie,37,0.07,2022-04-30
8899,Opolskie,10,0.1,2022-04-30
8900,Podkarpackie,18,0.08,2022-04-30
8901,Podlaskie,11,0.09,2022-04-30
8902,Pomorskie,11,0.05,2022-04-30
8903,Śląskie,35,0.08,2022-04-30
8904,Świętokrzyskie,10,0.08,2022-04-30
8905,Warmińsko-mazurskie,6,0.04,2022-04-30
8906,Wielkopolskie,14,0.04,2022-04-30
8907,Zachodniopomorskie,10,0.06,2022-04-30
8908,Cały kraj,188,0.05,2022-05-01
8909,Dolnośląskie,10,0.03,2022-05-01
8910,Kujawsko-pomorskie,4,0.02,2022-05-01
8911,Lubelskie,15,0.07,2022-05-01
8912,Lubuskie,3,0.03,2022-05-01
8913,Łódzkie,18,0.07,2022-05-01
8914,Małopolskie,15,0.04,2022-05-01
8915,Mazowieckie,30,0.06,2022-05-01
8916,Opolskie,8,0.08,2022-05-01
8917,Podkarpackie,14,0.07,2022-05-01
8918,Podlaskie,6,0.05,2022-05-01
8919,Pomorskie,4,0.02,2022-05-01
8920,Śląskie,17,0.04,2022-05-01
8921,Świętokrzyskie,8,0.07,2022-05-01
8922,Warmińsko-mazurskie,6,0.04,2022-05-01
8923,Wielkopolskie,16,0.05,2022-05-01
8924,Zachodniopomorskie,5,0.03,2022-05-01
8925,Cały kraj,890,0.23,2022-05-02
8926,Dolnośląskie,51,0.18,2022-05-02
8927,Kujawsko-pomorskie,28,0.14,2022-05-02
8928,Lubelskie,79,0.38,2022-05-02
8929,Lubuskie,10,0.1,2022-05-02
8930,Łódzkie,44,0.18,2022-05-02
8931,Małopolskie,110,0.32,2022-05-02
8932,Mazowieckie,155,0.29,2022-05-02
8933,Opolskie,26,0.27,2022-05-02
8934,Podkarpackie,50,0.24,2022-05-02
8935,Podlaskie,36,0.31,2022-05-02
8936,Pomorskie,44,0.19,2022-05-02
8937,Śląskie,126,0.28,2022-05-02
8938,Świętokrzyskie,26,0.21,2022-05-02
8939,Warmińsko-mazurskie,23,0.16,2022-05-02
8940,Wielkopolskie,39,0.11,2022-05-02
8941,Zachodniopomorskie,33,0.19,2022-05-02
8942,Cały kraj,173,0.05,2022-05-03
8943,Dolnośląskie,13,0.04,2022-05-03
8944,Kujawsko-pomorskie,4,0.02,2022-05-03
8945,Lubelskie,12,0.06,2022-05-03
8946,Lubuskie,4,0.04,2022-05-03
8947,Łódzkie,7,0.03,2022-05-03
8948,Małopolskie,23,0.07,2022-05-03
8949,Mazowieckie,27,0.05,2022-05-03
8950,Opolskie,5,0.05,2022-05-03
8951,Podkarpackie,13,0.06,2022-05-03
8952,Podlaskie,6,0.05,2022-05-03
8953,Pomorskie,11,0.05,2022-05-03
8954,Śląskie,22,0.05,2022-05-03
8955,Świętokrzyskie,3,0.02,2022-05-03
8956,Warmińsko-mazurskie,2,0.01,2022-05-03
8957,Wielkopolskie,9,0.03,2022-05-03
8958,Zachodniopomorskie,6,0.04,2022-05-03
8959,Cały kraj,912,0.24,2022-05-04
8960,Dolnośląskie,63,0.22,2022-05-04
8961,Kujawsko-pomorskie,35,0.17,2022-05-04
8962,Lubelskie,70,0.33,2022-05-04
8963,Lubuskie,15,0.15,2022-05-04
8964,Łódzkie,42,0.17,2022-05-04
8965,Małopolskie,75,0.22,2022-05-04
8966,Mazowieckie,178,0.33,2022-05-04
8967,Opolskie,31,0.32,2022-05-04
8968,Podkarpackie,43,0.2,2022-05-04
8969,Podlaskie,35,0.3,2022-05-04
8970,Pomorskie,42,0.18,2022-05-04
8971,Śląskie,145,0.32,2022-05-04
8972,Świętokrzyskie,20,0.16,2022-05-04
8973,Warmińsko-mazurskie,21,0.15,2022-05-04
8974,Wielkopolskie,48,0.14,2022-05-04
8975,Zachodniopomorskie,29,0.17,2022-05-04
8976,Cały kraj,611,0.16,2022-05-05
8977,Dolnośląskie,37,0.13,2022-05-05
8978,Kujawsko-pomorskie,19,0.09,2022-05-05
8979,Lubelskie,34,0.16,2022-05-05
8980,Lubuskie,17,0.17,2022-05-05
8981,Łódzkie,24,0.1,2022-05-05
8982,Małopolskie,60,0.18,2022-05-05
8983,Mazowieckie,124,0.23,2022-05-05
8984,Opolskie,27,0.28,2022-05-05
8985,Podkarpackie,30,0.14,2022-05-05
8986,Podlaskie,30,0.25,2022-05-05
8987,Pomorskie,15,0.06,2022-05-05
8988,Śląskie,89,0.2,2022-05-05
8989,Świętokrzyskie,22,0.18,2022-05-05
8990,Warmińsko-mazurskie,18,0.13,2022-05-05
8991,Wielkopolskie,27,0.08,2022-05-05
8992,Zachodniopomorskie,15,0.09,2022-05-05
8993,Cały kraj,704,0.18,2022-05-06
8994,Dolnośląskie,58,0.2,2022-05-06
8995,Kujawsko-pomorskie,13,0.06,2022-05-06
8996,Lubelskie,40,0.19,2022-05-06
8997,Lubuskie,13,0.13,2022-05-06
8998,Łódzkie,36,0.15,2022-05-06
8999,Małopolskie,71,0.21,2022-05-06
9000,Mazowieckie,134,0.25,2022-05-06
9001,Opolskie,31,0.32,2022-05-06
9002,Podkarpackie,31,0.15,2022-05-06
9003,Podlaskie,30,0.25,2022-05-06
9004,Pomorskie,32,0.14,2022-05-06
9005,Śląskie,92,0.2,2022-05-06
9006,Świętokrzyskie,21,0.17,2022-05-06
9007,Warmińsko-mazurskie,17,0.12,2022-05-06
9008,Wielkopolskie,40,0.11,2022-05-06
9009,Zachodniopomorskie,23,0.14,2022-05-06
9010,Cały kraj,199,0.05,2022-05-07
9011,Dolnośląskie,17,0.06,2022-05-07
9012,Kujawsko-pomorskie,9,0.04,2022-05-07
9013,Lubelskie,4,0.02,2022-05-07
9014,Lubuskie,4,0.04,2022-05-07
9015,Łódzkie,8,0.03,2022-05-07
9016,Małopolskie,28,0.08,2022-05-07
9017,Mazowieckie,37,0.07,2022-05-07
9018,Opolskie,6,0.06,2022-05-07
9019,Podkarpackie,12,0.06,2022-05-07
9020,Podlaskie,5,0.04,2022-05-07
9021,Pomorskie,11,0.05,2022-05-07
9022,Śląskie,27,0.06,2022-05-07
9023,Świętokrzyskie,4,0.03,2022-05-07
9024,Warmińsko-mazurskie,2,0.01,2022-05-07
9025,Wielkopolskie,4,0.01,2022-05-07
9026,Zachodniopomorskie,3,0.02,2022-05-07
9027,Cały kraj,184,0.05,2022-05-08
9028,Dolnośląskie,8,0.03,2022-05-08
9029,Kujawsko-pomorskie,4,0.02,2022-05-08
9030,Lubelskie,16,0.08,2022-05-08
9031,Lubuskie,2,0.02,2022-05-08
9032,Łódzkie,8,0.03,2022-05-08
9033,Małopolskie,24,0.07,2022-05-08
9034,Mazowieckie,40,0.07,2022-05-08
9035,Opolskie,8,0.08,2022-05-08
9036,Podkarpackie,13,0.06,2022-05-08
9037,Podlaskie,1,0.01,2022-05-08
9038,Pomorskie,8,0.03,2022-05-08
9039,Śląskie,21,0.05,2022-05-08
9040,Świętokrzyskie,6,0.05,2022-05-08
9041,Warmińsko-mazurskie,7,0.05,2022-05-08
9042,Wielkopolskie,8,0.02,2022-05-08
9043,Zachodniopomorskie,7,0.04,2022-05-08
9044,Cały kraj,727,0.19,2022-05-09
9045,Dolnośląskie,63,0.22,2022-05-09
9046,Kujawsko-pomorskie,23,0.11,2022-05-09
9047,Lubelskie,48,0.23,2022-05-09
9048,Lubuskie,8,0.08,2022-05-09
9049,Łódzkie,39,0.16,2022-05-09
9050,Małopolskie,82,0.24,2022-05-09
9051,Mazowieckie,125,0.23,2022-05-09
9052,Opolskie,25,0.25,2022-05-09
9053,Podkarpackie,46,0.22,2022-05-09
9054,Podlaskie,34,0.29,2022-05-09
9055,Pomorskie,35,0.15,2022-05-09
9056,Śląskie,91,0.2,2022-05-09
9057,Świętokrzyskie,30,0.24,2022-05-09
9058,Warmińsko-mazurskie,15,0.11,2022-05-09
9059,Wielkopolskie,18,0.05,2022-05-09
9060,Zachodniopomorskie,22,0.13,2022-05-09
9061,Cały kraj,566,0.15,2022-05-10
9062,Dolnośląskie,50,0.17,2022-05-10
9063,Kujawsko-pomorskie,17,0.08,2022-05-10
9064,Lubelskie,35,0.17,2022-05-10
9065,Lubuskie,6,0.06,2022-05-10
9066,Łódzkie,31,0.13,2022-05-10
9067,Małopolskie,80,0.23,2022-05-10
9068,Mazowieckie,93,0.17,2022-05-10
9069,Opolskie,20,0.2,2022-05-10
9070,Podkarpackie,22,0.1,2022-05-10
9071,Podlaskie,27,0.23,2022-05-10
9072,Pomorskie,13,0.06,2022-05-10
9073,Śląskie,89,0.2,2022-05-10
9074,Świętokrzyskie,17,0.14,2022-05-10
9075,Warmińsko-mazurskie,14,0.1,2022-05-10
9076,Wielkopolskie,17,0.05,2022-05-10
9077,Zachodniopomorskie,11,0.06,2022-05-10
9078,Cały kraj,500,0.13,2022-05-11
9079,Dolnośląskie,34,0.12,2022-05-11
9080,Kujawsko-pomorskie,22,0.11,2022-05-11
9081,Lubelskie,26,0.12,2022-05-11
9082,Lubuskie,9,0.09,2022-05-11
9083,Łódzkie,34,0.14,2022-05-11
9084,Małopolskie,48,0.14,2022-05-11
9085,Mazowieckie,102,0.19,2022-05-11
9086,Opolskie,18,0.18,2022-05-11
9087,Podkarpackie,25,0.12,2022-05-11
9088,Podlaskie,29,0.25,2022-05-11
9089,Pomorskie,28,0.12,2022-05-11
9090,Śląskie,58,0.13,2022-05-11
9091,Świętokrzyskie,13,0.11,2022-05-11
9092,Warmińsko-mazurskie,11,0.08,2022-05-11
9093,Wielkopolskie,17,0.05,2022-05-11
9094,Zachodniopomorskie,17,0.1,2022-05-11
9095,Cały kraj,469,0.12,2022-05-12
9096,Dolnośląskie,18,0.06,2022-05-12
9097,Kujawsko-pomorskie,17,0.08,2022-05-12
9098,Lubelskie,46,0.22,2022-05-12
9099,Lubuskie,3,0.03,2022-05-12
9100,Łódzkie,23,0.09,2022-05-12
9101,Małopolskie,74,0.22,2022-05-12
9102,Mazowieckie,87,0.16,2022-05-12
9103,Opolskie,16,0.16,2022-05-12
9104,Podkarpackie,24,0.11,2022-05-12
9105,Podlaskie,14,0.12,2022-05-12
9106,Pomorskie,23,0.1,2022-05-12
9107,Śląskie,57,0.13,2022-05-12
9108,Świętokrzyskie,9,0.07,2022-05-12
9109,Warmińsko-mazurskie,13,0.09,2022-05-12
9110,Wielkopolskie,17,0.05,2022-05-12
9111,Zachodniopomorskie,16,0.09,2022-05-12
9112,Cały kraj,434,0.11,2022-05-13
9113,Dolnośląskie,32,0.11,2022-05-13
9114,Kujawsko-pomorskie,17,0.08,2022-05-13
9115,Lubelskie,34,0.16,2022-05-13
9116,Lubuskie,7,0.07,2022-05-13
9117,Łódzkie,24,0.1,2022-05-13
9118,Małopolskie,49,0.14,2022-05-13
9119,Mazowieckie,63,0.12,2022-05-13
9120,Opolskie,13,0.13,2022-05-13
9121,Podkarpackie,35,0.16,2022-05-13
9122,Podlaskie,17,0.14,2022-05-13
9123,Pomorskie,22,0.09,2022-05-13
9124,Śląskie,58,0.13,2022-05-13
9125,Świętokrzyskie,15,0.12,2022-05-13
9126,Warmińsko-mazurskie,6,0.04,2022-05-13
9127,Wielkopolskie,16,0.05,2022-05-13
9128,Zachodniopomorskie,14,0.08,2022-05-13
9129,Cały kraj,139,0.04,2022-05-14
9130,Dolnośląskie,6,0.02,2022-05-14
9131,Kujawsko-pomorskie,3,0.01,2022-05-14
9132,Lubelskie,11,0.05,2022-05-14
9133,Lubuskie,1,0.01,2022-05-14
9134,Łódzkie,5,0.02,2022-05-14
9135,Małopolskie,14,0.04,2022-05-14
9136,Mazowieckie,34,0.06,2022-05-14
9137,Opolskie,1,0.01,2022-05-14
9138,Podkarpackie,6,0.03,2022-05-14
9139,Podlaskie,13,0.11,2022-05-14
9140,Pomorskie,9,0.04,2022-05-14
9141,Śląskie,14,0.03,2022-05-14
9142,Świętokrzyskie,6,0.05,2022-05-14
9143,Warmińsko-mazurskie,2,0.01,2022-05-14
9144,Wielkopolskie,2,0.01,2022-05-14
9145,Zachodniopomorskie,4,0.02,2022-05-14
9146,Cały kraj,95,0.02,2022-05-15
9147,Dolnośląskie,8,0.03,2022-05-15
9148,Kujawsko-pomorskie,4,0.02,2022-05-15
9149,Lubelskie,5,0.02,2022-05-15
9150,Lubuskie,0,0.0,2022-05-15
9151,Łódzkie,6,0.02,2022-05-15
9152,Małopolskie,8,0.02,2022-05-15
9153,Mazowieckie,19,0.04,2022-05-15
9154,Opolskie,1,0.01,2022-05-15
9155,Podkarpackie,3,0.01,2022-05-15
9156,Podlaskie,4,0.03,2022-05-15
9157,Pomorskie,6,0.03,2022-05-15
9158,Śląskie,12,0.03,2022-05-15
9159,Świętokrzyskie,5,0.04,2022-05-15
9160,Warmińsko-mazurskie,1,0.01,2022-05-15
9161,Wielkopolskie,3,0.01,2022-05-15
9162,Zachodniopomorskie,3,0.02,2022-05-15
9163,Cały kraj,512,0.13,2022-05-16
9164,Dolnośląskie,31,0.11,2022-05-16
9165,Kujawsko-pomorskie,17,0.08,2022-05-16
9166,Lubelskie,40,0.19,2022-05-16
9167,Lubuskie,6,0.06,2022-05-16
9168,Łódzkie,27,0.11,2022-05-16
9169,Małopolskie,63,0.18,2022-05-16
9170,Mazowieckie,96,0.18,2022-05-16
9171,Opolskie,21,0.21,2022-05-16
9172,Podkarpackie,23,0.11,2022-05-16
9173,Podlaskie,22,0.19,2022-05-16
9174,Pomorskie,28,0.12,2022-05-16
9175,Śląskie,75,0.17,2022-05-16
9176,Świętokrzyskie,19,0.15,2022-05-16
9177,Warmińsko-mazurskie,9,0.06,2022-05-16
9178,Wielkopolskie,12,0.03,2022-05-16
9179,Zachodniopomorskie,11,0.06,2022-05-16
9180,Cały kraj,388,0.1,2022-05-17
9181,Dolnośląskie,21,0.07,2022-05-17
9182,Kujawsko-pomorskie,20,0.1,2022-05-17
9183,Lubelskie,28,0.13,2022-05-17
9184,Lubuskie,3,0.03,2022-05-17
9185,Łódzkie,22,0.09,2022-05-17
9186,Małopolskie,40,0.12,2022-05-17
9187,Mazowieckie,74,0.14,2022-05-17
9188,Opolskie,13,0.13,2022-05-17
9189,Podkarpackie,16,0.08,2022-05-17
9190,Podlaskie,15,0.13,2022-05-17
9191,Pomorskie,19,0.08,2022-05-17
9192,Śląskie,63,0.14,2022-05-17
9193,Świętokrzyskie,3,0.02,2022-05-17
9194,Warmińsko-mazurskie,10,0.07,2022-05-17
9195,Wielkopolskie,15,0.04,2022-05-17
9196,Zachodniopomorskie,14,0.08,2022-05-17
9197,Cały kraj,359,0.09,2022-05-18
9198,Dolnośląskie,18,0.06,2022-05-18
9199,Kujawsko-pomorskie,15,0.07,2022-05-18
9200,Lubelskie,31,0.15,2022-05-18
9201,Lubuskie,2,0.02,2022-05-18
9202,Łódzkie,17,0.07,2022-05-18
9203,Małopolskie,33,0.1,2022-05-18
9204,Mazowieckie,70,0.13,2022-05-18
9205,Opolskie,9,0.09,2022-05-18
9206,Podkarpackie,16,0.08,2022-05-18
9207,Podlaskie,12,0.1,2022-05-18
9208,Pomorskie,22,0.09,2022-05-18
9209,Śląskie,44,0.1,2022-05-18
9210,Świętokrzyskie,11,0.09,2022-05-18
9211,Warmińsko-mazurskie,14,0.1,2022-05-18
9212,Wielkopolskie,19,0.05,2022-05-18
9213,Zachodniopomorskie,13,0.08,2022-05-18
9214,Cały kraj,315,0.08,2022-05-19
9215,Dolnośląskie,14,0.05,2022-05-19
9216,Kujawsko-pomorskie,7,0.03,2022-05-19
9217,Lubelskie,16,0.08,2022-05-19
9218,Lubuskie,3,0.03,2022-05-19
9219,Łódzkie,17,0.07,2022-05-19
9220,Małopolskie,38,0.11,2022-05-19
9221,Mazowieckie,57,0.11,2022-05-19
9222,Opolskie,5,0.05,2022-05-19
9223,Podkarpackie,42,0.2,2022-05-19
9224,Podlaskie,10,0.08,2022-05-19
9225,Pomorskie,12,0.05,2022-05-19
9226,Śląskie,38,0.08,2022-05-19
9227,Świętokrzyskie,10,0.08,2022-05-19
9228,Warmińsko-mazurskie,14,0.1,2022-05-19
9229,Wielkopolskie,16,0.05,2022-05-19
9230,Zachodniopomorskie,7,0.04,2022-05-19
9231,Cały kraj,336,0.09,2022-05-20
9232,Dolnośląskie,28,0.1,2022-05-20
9233,Kujawsko-pomorskie,13,0.06,2022-05-20
9234,Lubelskie,19,0.09,2022-05-20
9235,Lubuskie,4,0.04,2022-05-20
9236,Łódzkie,14,0.06,2022-05-20
9237,Małopolskie,32,0.09,2022-05-20
9238,Mazowieckie,68,0.13,2022-05-20
9239,Opolskie,13,0.13,2022-05-20
9240,Podkarpackie,20,0.09,2022-05-20
9241,Podlaskie,18,0.15,2022-05-20
9242,Pomorskie,24,0.1,2022-05-20
9243,Śląskie,38,0.08,2022-05-20
9244,Świętokrzyskie,8,0.07,2022-05-20
9245,Warmińsko-mazurskie,9,0.06,2022-05-20
9246,Wielkopolskie,13,0.04,2022-05-20
9247,Zachodniopomorskie,4,0.02,2022-05-20
9248,Cały kraj,95,0.02,2022-05-21
9249,Dolnośląskie,3,0.01,2022-05-21
9250,Kujawsko-pomorskie,5,0.02,2022-05-21
9251,Lubelskie,3,0.01,2022-05-21
9252,Lubuskie,2,0.02,2022-05-21
9253,Łódzkie,3,0.01,2022-05-21
9254,Małopolskie,7,0.02,2022-05-21
9255,Mazowieckie,17,0.03,2022-05-21
9256,Opolskie,3,0.03,2022-05-21
9257,Podkarpackie,7,0.03,2022-05-21
9258,Podlaskie,2,0.02,2022-05-21
9259,Pomorskie,4,0.02,2022-05-21
9260,Śląskie,14,0.03,2022-05-21
9261,Świętokrzyskie,7,0.06,2022-05-21
9262,Warmińsko-mazurskie,1,0.01,2022-05-21
9263,Wielkopolskie,2,0.01,2022-05-21
9264,Zachodniopomorskie,5,0.03,2022-05-21
9265,Cały kraj,65,0.02,2022-05-22
9266,Dolnośląskie,5,0.02,2022-05-22
9267,Kujawsko-pomorskie,1,0.0,2022-05-22
9268,Lubelskie,8,0.04,2022-05-22
9269,Lubuskie,0,0.0,2022-05-22
9270,Łódzkie,4,0.02,2022-05-22
9271,Małopolskie,5,0.01,2022-05-22
9272,Mazowieckie,12,0.02,2022-05-22
9273,Opolskie,3,0.03,2022-05-22
9274,Podkarpackie,3,0.01,2022-05-22
9275,Podlaskie,1,0.01,2022-05-22
9276,Pomorskie,4,0.02,2022-05-22
9277,Śląskie,5,0.01,2022-05-22
9278,Świętokrzyskie,1,0.01,2022-05-22
9279,Warmińsko-mazurskie,4,0.03,2022-05-22
9280,Wielkopolskie,1,0.0,2022-05-22
9281,Zachodniopomorskie,3,0.02,2022-05-22
9282,Cały kraj,420,0.11,2022-05-23
9283,Dolnośląskie,31,0.11,2022-05-23
9284,Kujawsko-pomorskie,21,0.1,2022-05-23
9285,Lubelskie,31,0.15,2022-05-23
9286,Lubuskie,4,0.04,2022-05-23
9287,Łódzkie,23,0.09,2022-05-23
9288,Małopolskie,24,0.07,2022-05-23
9289,Mazowieckie,90,0.17,2022-05-23
9290,Opolskie,5,0.05,2022-05-23
9291,Podkarpackie,18,0.08,2022-05-23
9292,Podlaskie,17,0.14,2022-05-23
9293,Pomorskie,25,0.11,2022-05-23
9294,Śląskie,50,0.11,2022-05-23
9295,Świętokrzyskie,19,0.15,2022-05-23
9296,Warmińsko-mazurskie,11,0.08,2022-05-23
9297,Wielkopolskie,17,0.05,2022-05-23
9298,Zachodniopomorskie,18,0.11,2022-05-23
9299,Cały kraj,284,0.07,2022-05-24
9300,Dolnośląskie,21,0.07,2022-05-24
9301,Kujawsko-pomorskie,5,0.02,2022-05-24
9302,Lubelskie,18,0.09,2022-05-24
9303,Lubuskie,3,0.03,2022-05-24
9304,Łódzkie,16,0.07,2022-05-24
9305,Małopolskie,23,0.07,2022-05-24
9306,Mazowieckie,61,0.11,2022-05-24
9307,Opolskie,10,0.1,2022-05-24
9308,Podkarpackie,7,0.03,2022-05-24
9309,Podlaskie,9,0.08,2022-05-24
9310,Pomorskie,23,0.1,2022-05-24
9311,Śląskie,33,0.07,2022-05-24
9312,Świętokrzyskie,15,0.12,2022-05-24
9313,Warmińsko-mazurskie,7,0.05,2022-05-24
9314,Wielkopolskie,14,0.04,2022-05-24
9315,Zachodniopomorskie,7,0.04,2022-05-24
9316,Cały kraj,249,0.06,2022-05-25
9317,Dolnośląskie,14,0.05,2022-05-25
9318,Kujawsko-pomorskie,8,0.04,2022-05-25
9319,Lubelskie,16,0.08,2022-05-25
9320,Lubuskie,2,0.02,2022-05-25
9321,Łódzkie,19,0.08,2022-05-25
9322,Małopolskie,26,0.08,2022-05-25
9323,Mazowieckie,51,0.09,2022-05-25
9324,Opolskie,4,0.04,2022-05-25
9325,Podkarpackie,14,0.07,2022-05-25
9326,Podlaskie,9,0.08,2022-05-25
9327,Pomorskie,12,0.05,2022-05-25
9328,Śląskie,35,0.08,2022-05-25
9329,Świętokrzyskie,6,0.05,2022-05-25
9330,Warmińsko-mazurskie,6,0.04,2022-05-25
9331,Wielkopolskie,14,0.04,2022-05-25
9332,Zachodniopomorskie,7,0.04,2022-05-25
9333,Cały kraj,262,0.07,2022-05-26
9334,Dolnośląskie,18,0.06,2022-05-26
