,region,number_of_cases,number_of_cases_for_10k,date
199,Śląskie,1285,2.85,2020-12-04
200,Świętokrzyskie,205,1.67,2020-12-04
201,Warmińsko-mazurskie,760,5.35,2020-12-04
202,Wielkopolskie,1194,3.41,2020-12-04
203,Zachodniopomorskie,978,5.78,2020-12-04
204,Cały kraj,9175,2.39,2020-12-05
205,Dolnośląskie,475,1.64,2020-12-05
206,Kujawsko-pomorskie,722,3.49,2020-12-05
207,Lubelskie,352,1.67,2020-12-05
208,Lubuskie,326,3.23,2020-12-05
209,Łódzkie,558,2.28,2020-12-05
210,Małopolskie,382,1.12,2020-12-05
211,Mazowieckie,1172,2.16,2020-12-05
212,Opolskie,309,3.15,2020-12-05
213,Podkarpackie,183,0.86,2020-12-05
214,Podlaskie,220,1.87,2020-12-05
215,Pomorskie,877,3.74,2020-12-05
216,Śląskie,905,2.01,2020-12-05
217,Świętokrzyskie,190,1.54,2020-12-05
218,Warmińsko-mazurskie,695,4.89,2020-12-05
219,Wielkopolskie,1098,3.14,2020-12-05
220,Zachodniopomorskie,678,4.0,2020-12-05
221,Cały kraj,4424,1.15,2020-12-06
222,Dolnośląskie,288,0.99,2020-12-06
223,Kujawsko-pomorskie,350,1.69,2020-12-06
224,Lubelskie,178,0.85,2020-12-06
225,Lubuskie,162,1.6,2020-12-06
226,Łódzkie,238,0.97,2020-12-06
227,Małopolskie,213,0.62,2020-12-06
228,Mazowieckie,618,1.14,2020-12-06
229,Opolskie,197,2.01,2020-12-06
230,Podkarpackie,153,0.72,2020-12-06
231,Podlaskie,154,1.31,2020-12-06
232,Pomorskie,338,1.44,2020-12-06
233,Śląskie,266,0.59,2020-12-06
234,Świętokrzyskie,70,0.57,2020-12-06
235,Warmińsko-mazurskie,222,1.56,2020-12-06
236,Wielkopolskie,423,1.21,2020-12-06
237,Zachodniopomorskie,529,3.12,2020-12-06
238,Cały kraj,8315,2.17,2020-12-07
239,Dolnośląskie,570,1.97,2020-12-07
240,Kujawsko-pomorskie,696,3.36,2020-12-07
241,Lubelskie,418,1.99,2020-12-07
242,Lubuskie,175,1.73,2020-12-07
243,Łódzkie,565,2.31,2020-12-07
244,Małopolskie,1079,3.16,2020-12-07
245,Mazowieckie,973,1.79,2020-12-07
246,Opolskie,141,1.44,2020-12-07
247,Podkarpackie,204,0.96,2020-12-07
248,Podlaskie,196,1.67,2020-12-07
249,Pomorskie,523,2.23,2020-12-07
250,Śląskie,850,1.89,2020-12-07
251,Świętokrzyskie,191,1.55,2020-12-07
252,Warmińsko-mazurskie,532,3.75,2020-12-07
253,Wielkopolskie,584,1.67,2020-12-07
254,Zachodniopomorskie,489,2.89,2020-12-07
255,Cały kraj,12164,3.17,2020-12-08
256,Dolnośląskie,819,2.83,2020-12-08
257,Kujawsko-pomorskie,1113,5.38,2020-12-08
258,Lubelskie,728,3.46,2020-12-08
259,Lubuskie,348,3.44,2020-12-08
260,Łódzkie,822,3.36,2020-12-08
261,Małopolskie,566,1.66,2020-12-08
262,Mazowieckie,1500,2.76,2020-12-08
263,Opolskie,226,2.3,2020-12-08
264,Podkarpackie,254,1.19,2020-12-08
265,Podlaskie,360,3.06,2020-12-08
266,Pomorskie,936,3.99,2020-12-08
267,Śląskie,1471,3.26,2020-12-08
268,Świętokrzyskie,181,1.47,2020-12-08
269,Warmińsko-mazurskie,657,4.63,2020-12-08
270,Wielkopolskie,1204,3.44,2020-12-08
271,Zachodniopomorskie,934,5.52,2020-12-08
272,Cały kraj,13747,3.58,2020-12-09
273,Dolnośląskie,986,3.4,2020-12-09
274,Kujawsko-pomorskie,1406,6.79,2020-12-09
275,Lubelskie,619,2.94,2020-12-09
276,Lubuskie,468,4.63,2020-12-09
277,Łódzkie,867,3.54,2020-12-09
278,Małopolskie,491,1.44,2020-12-09
279,Mazowieckie,1703,3.14,2020-12-09
280,Opolskie,496,5.06,2020-12-09
281,Podkarpackie,403,1.9,2020-12-09
282,Podlaskie,367,3.12,2020-12-09
283,Pomorskie,891,3.8,2020-12-09
284,Śląskie,1253,2.78,2020-12-09
285,Świętokrzyskie,218,1.77,2020-12-09
286,Warmińsko-mazurskie,898,6.32,2020-12-09
287,Wielkopolskie,1674,4.78,2020-12-09
288,Zachodniopomorskie,961,5.68,2020-12-09
289,Cały kraj,13105,3.42,2020-12-10
290,Dolnośląskie,800,2.76,2020-12-10
291,Kujawsko-pomorskie,1012,4.89,2020-12-10
292,Lubelskie,640,3.04,2020-12-10
293,Lubuskie,443,4.39,2020-12-10
294,Łódzkie,846,3.45,2020-12-10
295,Małopolskie,474,1.39,2020-12-10
296,Mazowieckie,1728,3.18,2020-12-10
297,Opolskie,340,3.47,2020-12-10
298,Podkarpackie,261,1.23,2020-12-10
299,Podlaskie,312,2.65,2020-12-10
300,Pomorskie,1148,4.89,2020-12-10
301,Śląskie,1090,2.42,2020-12-10
302,Świętokrzyskie,219,1.78,2020-12-10
303,Warmińsko-mazurskie,1201,8.45,2020-12-10
304,Wielkopolskie,1412,4.03,2020-12-10
305,Zachodniopomorskie,1120,6.61,2020-12-10
306,Cały kraj,11498,3.0,2020-12-11
307,Dolnośląskie,703,2.43,2020-12-11
308,Kujawsko-pomorskie,1093,5.28,2020-12-11
309,Lubelskie,750,3.57,2020-12-11
310,Lubuskie,371,3.67,2020-12-11
311,Łódzkie,695,2.84,2020-12-11
312,Małopolskie,411,1.2,2020-12-11
313,Mazowieckie,1529,2.82,2020-12-11
314,Opolskie,316,3.22,2020-12-11
315,Podkarpackie,525,2.47,2020-12-11
316,Podlaskie,358,3.04,2020-12-11
317,Pomorskie,753,3.21,2020-12-11
318,Śląskie,995,2.21,2020-12-11
319,Świętokrzyskie,188,1.53,2020-12-11
320,Warmińsko-mazurskie,742,5.22,2020-12-11
321,Wielkopolskie,1039,2.97,2020-12-11
322,Zachodniopomorskie,976,5.76,2020-12-11
323,Cały kraj,8978,2.34,2020-12-12
324,Dolnośląskie,507,1.75,2020-12-12
325,Kujawsko-pomorskie,768,3.71,2020-12-12
326,Lubelskie,378,1.8,2020-12-12
327,Lubuskie,302,2.99,2020-12-12
328,Łódzkie,576,2.35,2020-12-12
329,Małopolskie,316,0.93,2020-12-12
330,Mazowieckie,1286,2.37,2020-12-12
331,Opolskie,131,1.34,2020-12-12
332,Podkarpackie,205,0.96,2020-12-12
333,Podlaskie,233,1.98,2020-12-12
334,Pomorskie,1013,4.32,2020-12-12
335,Śląskie,669,1.48,2020-12-12
336,Świętokrzyskie,134,1.09,2020-12-12
337,Warmińsko-mazurskie,650,4.58,2020-12-12
338,Wielkopolskie,1138,3.25,2020-12-12
339,Zachodniopomorskie,600,3.54,2020-12-12
340,Cały kraj,4858,1.27,2020-12-13
341,Dolnośląskie,266,0.92,2020-12-13
342,Kujawsko-pomorskie,545,2.63,2020-12-13
343,Lubelskie,177,0.84,2020-12-13
344,Lubuskie,210,2.08,2020-12-13
345,Łódzkie,195,0.8,2020-12-13
